donor_id,name,first_name,last_name,date_of_birth,gender,email,phone_number,address,city,state,zip_code,blood_type,registration_date,is_influencer,primary_influencer_id,total_donated,avg_donation_size,donation_count,campaign_count,health_screening_count
002ee4ed-6085-4969-9cf0-0776607ee397,Patricia Lynch,Patricia,Lynch,1964-10-07,,,,,,,,,2024-06-15 10:30:00,false,,8253,393,21,4,3
003c374e-1358-471e-8f22-8a59276a0747,Joshua Gonzalez,Joshua,Gonzalez,1956-09-03,,,,,,,,,2024-06-15 10:30:00,false,,11559,481.625,24,2,1
004f1a5a-796e-4d24-92f5-663c0c7fb445,Scott Mitchell,Scott,Mitchell,1971-05-20,,,,,,,,,2024-06-15 10:30:00,false,,7299,486.6,15,2,3
00684172-e806-46da-9c17-eb839869ecc8,Phillip Ortiz,Phillip,Ortiz,1965-01-05,,,," "," ",,,,2024-06-15 10:30:00,true,00684172-e806-46da-9c17-eb839869ecc8,8540,474.4444444,18,1,2
006ced9f-89da-468a-9c8c-1a0ef98e8cd5,Megan Mcgee,Megan,Mcgee,1947-03-02,,,,,,,,,2024-06-15 10:30:00,false,,7359,432.8823529,17,2,1
0093fcb3-b524-416f-b6fe-b8cae32d411a,Michael Sherman,Michael,Sherman,1977-04-09,,,,,,,,,2024-06-15 10:30:00,false,,12001,444.4814815,27,1,1
00b2744b-14d6-43a5-885d-232b3e4b7b0a,Andrea Moran,Andrea,Moran,1950-02-15,,,,,,,,,2024-06-15 10:30:00,true,00b2744b-14d6-43a5-885d-232b3e4b7b0a,12671,550.9130435,23,2,3
00cba771-fb33-4590-a41e-b4140ec0c527,Edward Knight,Edward,Knight,1950-11-14,,,,,,,,,2024-06-15 10:30:00,true,00cba771-fb33-4590-a41e-b4140ec0c527,15804,478.9090909,33,4,2
00d3e7b9-a9c2-4fd5-b3bb-1440c6f2cbe9,Felicia Cooke,Felicia,Cooke,1998-06-13,,,,,,,,,2024-06-15 10:30:00,true,00d3e7b9-a9c2-4fd5-b3bb-1440c6f2cbe9,10507,525.35,20,4,3
00dfd0dd-b64f-42df-bf25-4eec7f829f6b,Jennifer Tucker,Jennifer,Tucker,1946-11-22,,,,,,,,,2024-06-15 10:30:00,false,,14168,472.2666667,30,5,3
0106a48c-dfb3-4b1c-baff-563f33269393,Joseph Wright,Joseph,Wright,1967-04-02,,,,,,,,,2024-06-15 10:30:00,true,0106a48c-dfb3-4b1c-baff-563f33269393,8795,462.8947368,19,1,1
010c1b43-81e6-4cdc-8d78-a65acef426f5,Frank Riley,Frank,Riley,1948-10-03,,,,,,,,,2024-06-15 10:30:00,false,,7052,470.1333333,15,5,3
010ccfd4-e940-4f1f-adb3-91f7d5f0bc27,Cindy Zimmerman,Cindy,Zimmerman,1995-04-01,,,,,,,,,2024-06-15 10:30:00,true,010ccfd4-e940-4f1f-adb3-91f7d5f0bc27,10346,449.826087,23,1,1
01170fce-33a9-44c3-8990-1891c89b08ab,Kelly Martinez,Kelly,Martinez,1972-09-30,,,,,,,,,2024-06-15 10:30:00,false,,1106,368.6666667,3,4,3
015c2ed2-b249-4da9-bb78-c24bc01bfda8,Maurice Hunt,Maurice,Hunt,1959-07-09,,,,,,,,,2024-06-15 10:30:00,false,,8055,473.8235294,17,2,1
01642303-43b9-4565-b1ea-cff93eb2b335,Michael Aguilar,Michael,Aguilar,1972-04-01,,,,,,,,,2024-06-15 10:30:00,true,01642303-43b9-4565-b1ea-cff93eb2b335,13521,450.7,30,3,2
0178e78b-ca2b-4c1d-8478-c54d654da361,Peter Esparza,Peter,Esparza,1980-11-18,,,,,,,,,2024-06-15 10:30:00,false,,14925,481.4516129,31,2,3
017aecc1-ec5b-44dc-a629-b78f64de6e68,Chase Wagner,Chase,Wagner,1968-12-27,,,,,,,,,2024-06-15 10:30:00,false,,8995,499.7222222,18,5,2
017dafb9-2614-4e69-a87d-4444a55e83c9,Dwayne Rose,Dwayne,Rose,1967-02-23,,,,,,,,,2024-06-15 10:30:00,false,,16127,503.96875,32,2,2
0199ebd2-5287-4cec-9f95-e93b7305a7a4,Sandra Morris,Sandra,Morris,1950-01-30,,,,,,,,,2024-06-15 10:30:00,false,,18101,532.3823529,34,3,1
019b7753-5b69-42be-9b68-9d11394df183,Christine Gray,Christine,Gray,1984-12-15,,,,,,,,,2024-06-15 10:30:00,false,,10833,451.375,24,5,1
01d00b8f-8335-498e-9eba-5d8294235b03,Martin Collins,Martin,Collins,1965-01-07,,,,,,,,,2024-06-15 10:30:00,false,,10861,493.6818182,22,1,2
01e97589-44e7-44d2-83ec-f215c6058414,William Kane,William,Kane,1946-08-03,,,,,,,,,2024-06-15 10:30:00,false,,7807,487.9375,16,3,3
020e7cbc-2b2a-455f-8bfa-fa9e7156bc41,Sandra King,Sandra,King,2002-05-01,,,,,,,,,2024-06-15 10:30:00,false,,10121,532.6842105,19,4,3
0213e574-1095-49cc-9c3d-388db5cce7f9,Brandon Rose,Brandon,Rose,1992-12-07,,,,,,,,,2024-06-15 10:30:00,true,0213e574-1095-49cc-9c3d-388db5cce7f9,6888,459.2,15,5,3
022cf4b6-2aff-494c-af73-bd4bf94f8475,Deborah Wood,Deborah,Wood,1962-04-01,,,,,,,,,2024-06-15 10:30:00,false,,487,243.5,2,5,1
024e3509-a54b-49b7-a351-3dc54163aa52,Joseph Gallegos,Joseph,Gallegos,1964-02-27,,,,,,,,,2024-06-15 10:30:00,true,024e3509-a54b-49b7-a351-3dc54163aa52,14708,459.625,32,1,3
02566141-6b8b-431a-be96-232fc318b69b,Ashley Sanders,Ashley,Sanders,1962-05-03,,,,,,,,,2024-06-15 10:30:00,false,,8015,471.4705882,17,5,1
0278342a-c105-42f1-a1a0-bae8531734c8,Ryan Miller,Ryan,Miller,1985-04-13,,,,,,,,,2024-06-15 10:30:00,false,,6477,431.8,15,1,3
02ab02f6-2bac-4a0d-bdc2-f84b166e3154,Debra Ho,Debra,Ho,1966-05-01,,,,,,,,,2024-06-15 10:30:00,true,02ab02f6-2bac-4a0d-bdc2-f84b166e3154,7379,491.9333333,15,2,3
02ab2c2c-de2d-43e0-9171-0a096c632b21,Dakota Martinez,Dakota,Martinez,1986-08-11,,,,,,,,,2024-06-15 10:30:00,false,,7682,512.1333333,15,5,1
032be5bb-852d-4ace-a3b4-ec7e72c75126,John Rogers,John,Rogers,1958-09-13,,,,,,,,,2024-06-15 10:30:00,false,,12672,436.9655172,29,2,1
0345bcfa-cc1d-4786-8c26-d52992b03849,Diana Kelly,Diana,Kelly,1956-10-03,,,,,,,,,2024-06-15 10:30:00,true,0345bcfa-cc1d-4786-8c26-d52992b03849,12435,518.125,24,2,3
037be562-0921-4828-a51c-e788ce5e37ff,Samuel Lewis,Samuel,Lewis,1995-09-06,,,,,,,,,2024-06-15 10:30:00,false,,7137,419.8235294,17,5,3
04346619-f18e-42eb-9374-d60fc94bf18d,Heather Scott,Heather,Scott,1971-06-13,,,,,,,,,2024-06-15 10:30:00,true,04346619-f18e-42eb-9374-d60fc94bf18d,13592,503.4074074,27,4,1
044b5b1b-62da-4416-aafe-25ea04e084d8,Sarah Hopkins,Sarah,Hopkins,1978-06-11,,,,,,,,,2024-06-15 10:30:00,true,044b5b1b-62da-4416-aafe-25ea04e084d8,16981,499.4411765,34,2,1
045eb9b0-29b3-4ba5-988a-6b04237c9875,Jerry Reid,Jerry,Reid,1981-10-02,,,,,,,,,2024-06-15 10:30:00,false,,10647,425.88,25,4,2
04765b66-2a12-4483-961c-b68158b78604,Anthony Vaughan,Anthony,Vaughan,2007-03-10,,,,,,,,,2024-06-15 10:30:00,false,,14766,434.2941176,34,5,3
048326c0-b939-471c-9a6f-f80369497a2b,Courtney Potter,Courtney,Potter,1994-08-20,,,,,,,,,2024-06-15 10:30:00,false,,7999,399.95,20,4,3
0493bf09-1fff-465f-b3bc-e9733a8c0fad,Nicholas Wilson,Nicholas,Wilson,1974-09-10,,,,,,,,,2024-06-15 10:30:00,false,,13105,436.8333333,30,5,3
0496be7b-16fc-4c98-b744-4158eab6da46,Jennifer Friedman,Jennifer,Friedman,1983-07-09,,,,,,,,,2024-06-15 10:30:00,false,,9378,586.125,16,4,3
04a78df8-917b-43af-af73-e76f78a0fb2e,Kimberly Smith,Kimberly,Smith,1949-04-12,,,,,,,,,2024-06-15 10:30:00,false,,1018,509,2,5,2
05177781-6211-404b-ba5a-be47c96484eb,Lisa Ramirez,Lisa,Ramirez,1963-05-03,,,,,,,,,2024-06-15 10:30:00,false,,7134,445.875,16,1,1
0526a2c4-523c-4576-82d6-8390bb4195b0,Amy Jordan,Amy,Jordan,1967-03-14,,,,,,,,,2024-06-15 10:30:00,false,,11433,423.4444444,27,5,2
052a6deb-e5e3-4548-a7e6-3d9b82add0c7,Michael Cuevas,Michael,Cuevas,1983-12-26,,,,,,,,,2024-06-15 10:30:00,true,052a6deb-e5e3-4548-a7e6-3d9b82add0c7,11486,574.3,20,3,1
05620726-05e5-446e-b6f7-2ab3ba04c8af,Ashley Krueger,Ashley,Krueger,1986-09-15,,,,,,,,,2024-06-15 10:30:00,true,05620726-05e5-446e-b6f7-2ab3ba04c8af,15180,489.6774194,31,4,1
05772823-69a7-45c9-bd3a-beca07d3a481,Megan Kramer,Megan,Kramer,1971-09-09,,,,,,,,,2024-06-15 10:30:00,true,05772823-69a7-45c9-bd3a-beca07d3a481,14766,509.1724138,29,1,2
05c72f13-f2ff-4d01-b68b-eb1dd3ac7468,Ashlee Gordon,Ashlee,Gordon,1956-09-18,,,,,,,,,2024-06-15 10:30:00,false,,8112,450.6666667,18,1,2
